"institutionCode","collectionCode","catalogNumber","verbatimCoordinateUncertaintyInMeters","Expr1"
"ROM","Mammals","87133","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87118","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87119","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87120","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87121","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87122","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87123","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87124","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87128","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87129","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87130","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87147","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87132","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87115","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87134","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87135","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87136","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87137","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87138","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87139","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87140","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87141","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87142","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87143","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87219","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87131","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87104","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87088","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87089","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87091","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87092","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87093","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87094","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87095","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87098","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87099","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87100","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87101","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87117","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87103","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87116","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87105","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87106","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87107","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87108","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87109","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87110","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87111","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87112","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87113","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87114","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87148","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87102","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87204","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87185","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87186","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87187","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87188","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87189","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87191","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87194","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87195","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87197","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87198","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87146","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87203","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87182","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87205","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87206","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87207","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87208","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87209","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87210","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87211","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87212","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87213","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87214","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87218","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87202","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87169","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87149","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87151","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87152","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87154","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87155","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87156","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87161","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87162","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87163","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87164","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87166","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87184","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87168","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87183","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87170","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87171","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87172","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87173","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87174","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87175","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87176","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87177","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87178","0","coordinateUncertaintyInMeters can not be zero"
"ROM","Mammals","87179","0","coordinateUncertaintyInMeters can not be zero"
