"collectionCode","catalogNumber","verbatimDecimalLatitude","verbatimDecimalLongitude"
"Mammals","94964","42.52739","-81399473"
"Mammals","51983","41700","-733600"
"Mammals","51988","41700","-733600"
"Mammals","51989","41700","-733600"
"Mammals","51992","41700","-733600"
"Mammals","51980","41700","-733600"
"Mammals","51981","41700","-733600"
"Mammals","51996","41700","-733600"
"Mammals","69508","19","350"
"Mammals","87153","39.5333333333333","-871.333333333333"
"Mammals","86990","40.7333333333333","-851.166666666667"
"Mammals","87150","41.05","-864"
"Mammals","86993","41.05","-864"
"Mammals","86994","41.05","-864"
"Mammals","86997","41.6333333333333","-850"
"Mammals","87003","41.6333333333333","-850"
"Mammals","87002","41.6333333333333","-850"
"Mammals","87001","41.6333333333333","-850"
"Mammals","87000","41.6333333333333","-850"
"Mammals","86998","41.6333333333333","-850"
"Mammals","86999","41.6333333333333","-850"
"Mammals","87127","41.8888888888889","-853.730555555556"
"Mammals","87301","41.8888888888889","-853.730555555556"
"Mammals","87052","42.2833333333333","-834.833333333333"
