"collectionCode","catalogNumber","verbatimMunicipality","verbatimCounty","verbatimStateProvince","verbatimCountry","verbatimContinent","verbatimWaterBody","verbatimIslandGroup","verbatimIsland","error"
"Mammals","71882",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71895",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71822",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71821",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71820",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71900",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71894",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71911",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71811",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71873",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71823",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71884",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71816",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71880",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71878",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71859",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71858",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71857",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71856",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71853",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71867",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71877",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71886",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71842",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71899",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71876",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71869",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71868",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71862",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71852",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71848",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71813",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71849",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71844",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71843",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71883",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71841",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71839",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71838",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71837",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71832",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71898",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71812",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71850",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71815",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71846",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71885",,,"Bale","Ethiopia","Africa",,,,
"Mammals","72055",,,"Bale","Ethiopia","Africa",,,,
"Mammals","71947",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71946",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71952",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71954",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71945",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71961",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71968",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71973",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71980",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71948",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72031",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71982",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71964",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71962",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72040",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72014",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72049",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72013",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72005",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72018",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72026",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71957",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72042",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71950",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72032",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72045",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72030",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72001",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72028",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71981",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","71953",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72043",,,"HARERGE","ETHIOPIA","AFRICA",,,,
"Mammals","72009",,,"HARERGE","ETHIOPIA","AFRICA",,,,
