"collectionCode","catalogNumber","decimalLatitude","decimalLongitude","error"
"Mammals","74787",,"-84.7482186","missing decimalLatitude"
"Mammals","74785",,"-84.7482186","missing decimalLatitude"
"Mammals","33771","2.83333333333333",,"missing decimalLongitude"
"Mammals","3310120006",,"-78.15131","missing decimalLatitude"
"Mammals","91399",,"-80.712419","missing decimalLatitude"
"Mammals","91400",,"-80.712419","missing decimalLatitude"
"Mammals","18013",,"-80.663939","missing decimalLatitude"
"Mammals","15894",,"-84.7482186","missing decimalLatitude"
"Mammals","3601020220",,"-84.7482186","missing decimalLatitude"
"Mammals","91282",,"-84.7482186","missing decimalLatitude"
"Mammals","91283",,"-84.7482186","missing decimalLatitude"
"Mammals","92548",,"-84.7482186","missing decimalLatitude"
"Mammals","92547",,"-84.7482186","missing decimalLatitude"
"Mammals","92550",,"-84.7482186","missing decimalLatitude"
"Mammals","92552",,"-84.7482186","missing decimalLatitude"
"Mammals","92549",,"-84.7482186","missing decimalLatitude"
"Mammals","91447","-42",,"missing decimalLongitude"
"Mammals","26651","58.76944",,"missing decimalLongitude"
"Mammals","9111010107",,"-84.7482186","missing decimalLatitude"
"Mammals","94964","42.52739",,"missing decimalLongitude"
"Mammals","9111010125",,"-84.7482186","missing decimalLatitude"
"Mammals","20653",,"-84.7482186","missing decimalLatitude"
"Mammals","96179",,"-84.7482186","missing decimalLatitude"
"Mammals","92148",,"-84.7482186","missing decimalLatitude"
"Mammals","92193",,"-80.0819","missing decimalLatitude"
"Mammals","92234",,"-84.7482186","missing decimalLatitude"
"Mammals","79887","5.7972",,"missing decimalLongitude"
"Mammals","77163",,"-92.85215","missing decimalLatitude"
"Mammals","69508","19",,"missing decimalLongitude"
"Mammals","87153","39.5333333333333",,"missing decimalLongitude"
"Mammals","86990","40.7333333333333",,"missing decimalLongitude"
"Mammals","87150","41.05",,"missing decimalLongitude"
"Mammals","86993","41.05",,"missing decimalLongitude"
"Mammals","86994","41.05",,"missing decimalLongitude"
"Mammals","86997","41.6333333333333",,"missing decimalLongitude"
"Mammals","87003","41.6333333333333",,"missing decimalLongitude"
"Mammals","87002","41.6333333333333",,"missing decimalLongitude"
"Mammals","87001","41.6333333333333",,"missing decimalLongitude"
"Mammals","87000","41.6333333333333",,"missing decimalLongitude"
"Mammals","86998","41.6333333333333",,"missing decimalLongitude"
"Mammals","86999","41.6333333333333",,"missing decimalLongitude"
"Mammals","87127","41.8888888888889",,"missing decimalLongitude"
"Mammals","87301","41.8888888888889",,"missing decimalLongitude"
"Mammals","87052","42.2833333333333",,"missing decimalLongitude"
"Mammals","17140",,"-81.64867","missing decimalLatitude"
"Mammals","17141",,"-81.64867","missing decimalLatitude"
"Mammals","27988",,"-79.056382","missing decimalLatitude"
"Mammals","17137",,"-81.158047","missing decimalLatitude"
"Mammals","20186",,"-79.685","missing decimalLatitude"
"Mammals","3009010302",,"-77.22674","missing decimalLatitude"
"Mammals","21992",,"-77.68204","missing decimalLatitude"
"Mammals","21993",,"-77.68204","missing decimalLatitude"
"Mammals","21991",,"-77.68204","missing decimalLatitude"
"Mammals","21990",,"-77.68204","missing decimalLatitude"
"Mammals","3009200053",,"-80.076685","missing decimalLatitude"
"Mammals","3009200054",,"-80.076685","missing decimalLatitude"
"Mammals","3009200055",,"-80.076685","missing decimalLatitude"
"Mammals","3009200056",,"-80.076685","missing decimalLatitude"
"Mammals","3009200019",,"-80.076685","missing decimalLatitude"
"Mammals","3009200029",,"-80.076685","missing decimalLatitude"
"Mammals","3009200030",,"-80.076685","missing decimalLatitude"
"Mammals","3009200031",,"-80.076685","missing decimalLatitude"
"Mammals","109811","510600",,"missing decimalLongitude"
"Mammals","109814","510600",,"missing decimalLongitude"
"Mammals","109813","510600",,"missing decimalLongitude"
"Mammals","109812","510600",,"missing decimalLongitude"
"Mammals","109815","510600",,"missing decimalLongitude"
"Mammals","115446","53.85599",,"missing decimalLongitude"
"Mammals","115447","53.8561",,"missing decimalLongitude"
