"collectionCode","catalogNumber","verbatimCountry","Country"
"Mammals","1011160004","Unknown",
"Mammals","0011290007","Unknown",
"Mammals","1012230003","Unknown",
"Mammals","0102010009","Unknown",
"Mammals","21397","Unknown",
"Mammals","1011160003","Unknown",
"Mammals","0011120008","Unknown",
"Mammals","0104200001","Unknown",
"Mammals","43978","USA","United States"
"Mammals","9102010001","Unknown",
"Mammals","0011080014","Unknown",
"Mammals","16499","Unknown",
"Mammals","8608240009","Unknown",
"Mammals","27623","Unknown",
"Mammals","14424","Unknown",
"Mammals","2410180001","Unknown",
"Mammals","3306201053","Unknown",
"Mammals","16896","Unknown",
"Mammals","60392","Unknown",
"Mammals","3609180279","USA","United States"
"Mammals","25282","Unknown",
"Mammals","25283","Unknown",
"Mammals","7001010044","Unknown",
"Mammals","60393","Unknown",
"Mammals","7906010003","Unknown",
"Mammals","9012190014","Unknown",
"Mammals","9102010022","Unknown",
"Mammals","1012230002","Unknown",
"Mammals","31295","Unknown",
"Mammals","91483","Unknown",
"Mammals","14748","Unknown",
"Mammals","20356","Unknown",
"Mammals","25315","Unknown",
"Mammals","3306200031","USA","United States"
"Mammals","7002010001","Unknown",
"Mammals","9508300001","Unknown",
"Mammals","11202","Unknown",
"Mammals","22975","USA","United States"
"Mammals","3211080038","Unknown",
"Mammals","9812300009","Unknown",
"Mammals","0104260001","Unknown",
"Mammals","8608240002","Unknown",
"Mammals","51430","Unknown",
"Mammals","8608040001","Unknown",
"Mammals","9102010002","Unknown",
"Mammals","61462","Unknown",
"Mammals","61463","Unknown",
"Mammals","61465","Unknown",
"Mammals","8606010004","Unknown",
"Mammals","0101300002","Unknown",
"Mammals","3202090001","Unknown",
"Mammals","7001010002","West Africa",
"Mammals","9012190020","Unknown",
"Mammals","8806010002","Unknown",
"Mammals","8606010010","Unknown",
"Mammals","3306200007","Unknown",
"Mammals","94088","Unknown",
"Mammals","1702110004","Unknown",
"Mammals","16762","Unknown",
"Mammals","0101300021","Unknown",
"Mammals","9102010017","Unknown",
"Mammals","9102010015","Unknown",
"Mammals","9102240004","Zaire","Democratic Republic of the Congo"
"Mammals","0101300001","Unknown",
"Mammals","0011120004","Unknown",
"Mammals","94609","Unknown",
"Mammals","60285","Unknown",
"Mammals","60284","Unknown",
"Mammals","60283","Unknown",
"Mammals","3302030005","Unknown",
"Mammals","7002010003","Unknown",
"Mammals","0106030001","Unknown",
"Mammals","2612170015","Unknown",
"Mammals","2612170008","Unknown",
"Mammals","2612170007","Unknown",
"Mammals","1901070017","Unknown",
"Mammals","2612170059","Unknown",
"Mammals","2612170058","Unknown",
"Mammals","2612170006","Unknown",
"Mammals","2612170005","Unknown",
"Mammals","1910080078","Unknown",
"Mammals","1910080077","Unknown",
"Mammals","2403150001","Unknown",
"Mammals","59352","Unknown",
"Mammals","2612170042","Unknown",
"Mammals","2612170041","Unknown",
"Mammals","2612170040","Unknown",
"Mammals","2403150002","Unknown",
"Mammals","9403260002","Unknown",
"Mammals","8406010001","Unknown",
"Mammals","0903010037","Unknown",
"Mammals","2612170010","Unknown",
"Mammals","2612170009","Unknown",
"Mammals","1910080070","Unknown",
"Mammals","1910080069","Unknown",
"Mammals","1901070026","Unknown",
"Mammals","1901070025","Unknown",
"Mammals","2612170012","Unknown",
"Mammals","2612170011","Unknown",
"Mammals","2612170022","Unknown",
"Mammals","2612170021","Unknown",
"Mammals","95180","Unknown",
"Mammals","1901070028","Unknown",
"Mammals","2612170029","Unknown",
"Mammals","8001010002","Unknown",
"Mammals","2612170044","Unknown",
"Mammals","2612170030","Unknown",
"Mammals","1901070027","Unknown",
"Mammals","1805010013","Unknown",
"Mammals","1805010012","Unknown",
"Mammals","1805010011","Unknown",
"Mammals","1805010010","Unknown",
"Mammals","7906010006","Unknown",
"Mammals","2612170045","Unknown",
"Mammals","0101300072","Unknown",
"Mammals","1901070018","Unknown",
"Mammals","1901070006","Unknown",
"Mammals","31292","Unknown",
