"collectionCode","catalogNumber","verbatimCountry","Country","verbatimStateProvince","StateProvince","verbatimCounty","County","verbatimIsland","Island"
"Mammals","76108","SOUTH AFRICA","South Africa","NATAL","KwaZulu-Natal","ZULULAND",,,
"Mammals","68693","Uganda","Uganda",,"Western","Bunyoro",,,
"Mammals","78121","INDIA","India","BOMBAY","Maharashtra",,"Mumbai",,
"Mammals","14358","INDIA","India","BOMBAY","Maharashtra",,"Mumbai",,
"Mammals","14357","INDIA","India","BOMBAY","Maharashtra",,"Mumbai",,
"Mammals","78101","INDIA","India","BOMBAY","Maharashtra",,"Mumbai",,
"Mammals","78102","INDIA","India","BOMBAY","Maharashtra",,"Mumbai",,
"Mammals","78234","INDIA","India","BOMBAY","Maharashtra",,"Mumbai",,
"Mammals","35416","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35415","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35409","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35372","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35408","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35399","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35370","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35412","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35410","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35365","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35414","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35385","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35367","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35369","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35413","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35368","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35417","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35366","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35388","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35387","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35418","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35400","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35407","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35371","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35386","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35398","BELGIUM","Belgium","LUXEMBOURG","Wallonia",,"Luxembourg",,
"Mammals","35396","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
"Mammals","35402","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
"Mammals","35393","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
"Mammals","35401","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
"Mammals","35419","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
"Mammals","35352","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
"Mammals","35426","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
"Mammals","35362","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
"Mammals","35420","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
"Mammals","35424","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
"Mammals","35425","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
"Mammals","35422","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
"Mammals","35359","BELGIUM","Belgium","NAMUR","Wallonia",,"Namur",,
