"collectionCode","catalogNumber","Genus","standardGenus","family","standardFamily","authority"
"Mammals","3208290049","Acrobates","Acrobates","Acrobatidae","Petauridae","ITIS"
"Mammals","94187","AILURUS","Ailurus","Procyonidae; Aluridae","Ailuridae","ITIS"
"Mammals","111047","AILURUS","Ailurus","Procyonidae; Aluridae","Ailuridae","ITIS"
"Mammals","11680","AILURUS","Ailurus","Procyonidae; Aluridae","Ailuridae","ITIS"
"Mammals","91448","AILURUS","Ailurus","Procyonidae; Aluridae","Ailuridae","ITIS"
"Mammals","11679","AILURUS","Ailurus","Procyonidae; Aluridae","Ailuridae","ITIS"
"Mammals","8608240003","AILURUS","Ailurus","Procyonidae; Aluridae","Ailuridae","ITIS"
"Mammals","97067","AILURUS","Ailurus","Procyonidae; Aluridae","Ailuridae","ITIS"
"Mammals","112297","AILURUS","Ailurus","Procyonidae; Aluridae","Ailuridae","ITIS"
"Mammals","88427","AILURUS","Ailurus","Procyonidae; Aluridae","Ailuridae","ITIS"
"Mammals","80080","AILURUS","Ailurus","Procyonidae; Aluridae","Ailuridae","ITIS"
"Mammals","82829","AILURUS","Ailurus","Procyonidae; Aluridae","Ailuridae","ITIS"
"Mammals","77587","AKODON","Akodon","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","0101300050","AKODON","Akodon","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","0101300051","AKODON","Akodon","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","0101300049","AKODON","Akodon","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","74708","ALTICOLA","Alticola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","74706","ALTICOLA","Alticola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","74709","ALTICOLA","Alticola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","95207","ALTICOLA","Alticola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","95208","ALTICOLA","Alticola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","3603170006","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","3603170005","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","37325","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","19755","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","27965","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","27958","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","27957","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","7801010002","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","3611160001","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","94623","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","74776","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","27959","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","100159","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","111482","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","100160","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","100161","Antilocapra","Antilocapra","Bovidae; Antilocapridae","Antilocapridae","ITIS"
"Mammals","24712","Aplodontia","Aplodontia","Aplodontidae","Aplodontiidae","ITIS"
"Mammals","24713","Aplodontia","Aplodontia","Aplodontidae","Aplodontiidae","ITIS"
"Mammals","2704140014","Aplodontia","Aplodontia","Aplodontidae","Aplodontiidae","ITIS"
"Mammals","17184","Aplodontia","Aplodontia","Aplodontidae","Aplodontiidae","ITIS"
"Mammals","30299","Aplodontia","Aplodontia","Aplodontidae","Aplodontiidae","ITIS"
"Mammals","3610070008","Aplodontia","Aplodontia","Aplodontidae","Aplodontiidae","ITIS"
"Mammals","2501160024","Aplodontia","Aplodontia","Aplodontidae","Aplodontiidae","ITIS"
"Mammals","2501120002","Aplodontia","Aplodontia","Aplodontidae","Aplodontiidae","ITIS"
"Mammals","22994","Aplodontia","Aplodontia","Aplodontidae","Aplodontiidae","ITIS"
"Mammals","31376","ARBORIMUS","Arborimus","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","31375","ARBORIMUS","Arborimus","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","31373","ARBORIMUS","Arborimus","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","31307","ARBORIMUS","Arborimus","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","31369","ARBORIMUS","Arborimus","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","31374","ARBORIMUS","Arborimus","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","31368","ARBORIMUS","Arborimus","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","31367","ARBORIMUS","Arborimus","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","31372","ARBORIMUS","Arborimus","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","31370","ARBORIMUS","Arborimus","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","55742","Arctocebus","Arctocebus","Lorisidae","Loridae","ITIS"
"Mammals","64294","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","64296","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","64288","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","64295","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
