"collectionCode","catalogNumber","Genus","standardGenus","authority","error"
"Mammals","56100","Aethosciurus","Paraxerus","Interim Register of Marine and Nonmarine Genera","Genus is a synonym."
"Mammals","71134","Aethosciurus","Paraxerus","Interim Register of Marine and Nonmarine Genera","Genus is a synonym."
"Mammals","71135","Aethosciurus","Paraxerus","Interim Register of Marine and Nonmarine Genera","Genus is a synonym."
"Mammals","90115","Antidorcus","Antidorcas","Species 2000 & ITIS Catalogue of Life: April 2013","Genus misspelled."
"Mammals","97068","CEBUELLA","Callithrix","Mammal Species of the World. 2005.","Genus is a subgenus."
"Mammals","44689","CEBUELLA","Callithrix","Mammal Species of the World. 2005.","Genus is a subgenus."
"Mammals","40417","CEBUELLA","Callithrix","Mammal Species of the World. 2005.","Genus is a subgenus."
"Mammals","49241","CEBUELLA","Callithrix","Mammal Species of the World. 2005.","Genus is a subgenus."
"Mammals","57240","CEBUELLA","Callithrix","Mammal Species of the World. 2005.","Genus is a subgenus."
"Mammals","40418","CEBUELLA","Callithrix","Mammal Species of the World. 2005.","Genus is a subgenus."
"Mammals","119732","Erithizon","Erethizon","ITIS","Genus is a synonym."
"Mammals","31997","HYDROCHAERIS","Hydrochoerus","ITIS","Genus misspelled."
"Mammals","31935","HYDROCHAERIS","Hydrochoerus","ITIS","Genus misspelled."
"Mammals","34306","HYDROCHAERIS","Hydrochoerus","ITIS","Genus misspelled."
"Mammals","3302030004","HYDROCHAERIS","Hydrochoerus","ITIS","Genus misspelled."
"Mammals","88099","HYDROCHAERIS","Hydrochoerus","ITIS","Genus misspelled."
"Mammals","1011160009","HYDROCHAERIS","Hydrochoerus","ITIS","Genus misspelled."
"Mammals","2410140006","HYDROCHAERIS","Hydrochoerus","ITIS","Genus misspelled."
"Mammals","2901170002","HYDROCHAERIS","Hydrochoerus","ITIS","Genus misspelled."
"Mammals","73588","HYDROCHAERIS","Hydrochoerus","ITIS","Genus misspelled."
