"collectionCode","catalogNumber","verbatimCountry","Country","verbatimStateProvince","StateProvince","verbatimCounty","County","verbatimMunicipality","Municipality"
"Mammals","90984","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","91066","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90985","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","114294","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90989","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90873","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90874","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90982","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90867","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90872","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90988","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90868","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90876","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90986","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","91041","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90875","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90870","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90983","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90869","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90871","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","90987","Canada","Canada","British Columbia","British Columbia","New Westminster","Greater Vancouver",,"New Westminster"
"Mammals","24018","CANADA","Canada","QUEBEC","Québec","ABITIBI-OUEST","Abitibi-Témiscamingue",,"Abitibi-Ouest"
"Mammals","24034","CANADA","Canada","QUEBEC","Québec","ABITIBI-OUEST","Abitibi-Témiscamingue",,"Abitibi-Ouest"
"Mammals","24025","CANADA","Canada","QUEBEC","Québec","ABITIBI-OUEST","Abitibi-Témiscamingue",,"Abitibi-Ouest"
"Mammals","24045","CANADA","Canada","QUEBEC","Québec","ABITIBI-OUEST","Abitibi-Témiscamingue",,"Abitibi-Ouest"
"Mammals","24024","CANADA","Canada","QUEBEC","Québec","ABITIBI-OUEST","Abitibi-Témiscamingue",,"Abitibi-Ouest"
"Mammals","24043","CANADA","Canada","QUEBEC","Québec","ABITIBI-OUEST","Abitibi-Témiscamingue",,"Abitibi-Ouest"
"Mammals","24035","CANADA","Canada","QUEBEC","Québec","ABITIBI-OUEST","Abitibi-Témiscamingue",,"Abitibi-Ouest"
