"collectionCode","catalogNumber","order","standardOrder","authority","Genus","standardGenus","family","standardFamily"
"Mammals","3208290049","Marsupialia; Diprotodontia","Diprotodontia","ITIS","Acrobates","Acrobates","Acrobatidae","Petauridae"
"Mammals","77561","Insectivora; Afrosoricida","Afrosoricida","ITIS","AMBLYSOMUS","Amblysomus","Chrysochloridae","Chrysochloridae"
"Mammals","31217","Marsupialia; Dasyuromorphia","Dasyuromorphia","ITIS","ANTECHINUS","Antechinus","Dasyuridae","Dasyuridae"
"Mammals","31218","Marsupialia; Dasyuromorphia","Dasyuromorphia","ITIS","ANTECHINUS","Antechinus","Dasyuridae","Dasyuridae"
"Mammals","31219","Marsupialia; Dasyuromorphia","Dasyuromorphia","ITIS","ANTECHINUS","Antechinus","Dasyuridae","Dasyuridae"
"Mammals","9812300004","Marsupialia; Dasyuromorphia","Dasyuromorphia","ITIS","ANTECHINUS","Antechinus","Dasyuridae","Dasyuridae"
"Mammals","9812030090","Marsupialia; Dasyuromorphia","Dasyuromorphia","ITIS","ANTECHINUS","Antechinus","Dasyuridae","Dasyuridae"
"Mammals","111451","Insectivora; Erinaceomorpha","Erinaceomorpha","ITIS","ATELERIX","Atelerix","Erinaceidae","Erinaceidae"
"Mammals","111452","Insectivora; Erinaceomorpha","Erinaceomorpha","ITIS","ATELERIX","Atelerix","Erinaceidae","Erinaceidae"
"Mammals","9111010191","Marsupialia; Diprotodontia","Diprotodontia","ITIS","BETTONGIA","Bettongia","Macropodidae; Potoroidae","Potoroidae"
"Mammals","9111010192","Marsupialia; Diprotodontia","Diprotodontia","ITIS","BETTONGIA","Bettongia","Macropodidae; Potoroidae","Potoroidae"
"Mammals","93104","Marsupialia; Diprotodontia","Diprotodontia","ITIS","BETTONGIA","Bettongia","Macropodidae; Potoroidae","Potoroidae"
"Mammals","111476","Marsupialia; Diprotodontia","Diprotodontia","ITIS","BETTONGIA","Bettongia","Macropodidae; Potoroidae","Potoroidae"
"Mammals","76920","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2311080004","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","76958","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","76987","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
