"collectionCode","catalogNumber","verbatimCountry","Country","verbatimStateProvince","StateProvince","verbatimCounty","County","verbatimIslandGroup","IslandGroup","verbatimIsland","Island"
"Mammals","56165","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56166","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56187","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56188","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56189","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56190","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56195","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56186","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57052","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57044","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57048","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57049","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57178","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57175","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57174","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57074","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56253","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57176","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57043","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57177","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56164","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57163","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57062","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57162","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57196","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57195","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57194","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57193","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57192","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57071","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57054","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57161","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57239","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57187","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57188","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57160","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57189","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57076","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57070","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57209","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57058","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57208","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57159","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57037","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57207","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57050","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57170","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57046","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57169","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57168","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57045","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57055","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56168","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57180","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57236","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57035","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57047","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57059","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57184","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57185","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57186","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57057","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57056","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57203","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57205","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57206","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57237","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57181","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57179","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57173","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57172","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57171","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57042","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57041","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57036","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57040","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57238","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57039","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57053","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57182","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57038","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57061","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57051","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57063","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57190","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57191","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","57060","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56162","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","55614","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","55617","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","55616","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","55615","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56144","Cameroon","Cameroon","Centre-Sud",,,,,,,
"Mammals","56113","Cameroon","Cameroon","Centre-Sud",,,,,,,
