"collectionCode","catalogNumber","verbatimWaterBody","Waterbody","verbatimContinent","Continent"
"Mammals","42436",,"Indian Ocean","Africa","Africa"
"Mammals","42382",,"Indian Ocean","Africa","Africa"
"Mammals","42380",,"Indian Ocean","Africa","Africa"
"Mammals","42360",,"Indian Ocean","Africa","Africa"
"Mammals","42361",,"Indian Ocean","Africa","Africa"
"Mammals","42259",,"Indian Ocean","Africa","Africa"
"Mammals","42256",,"Indian Ocean","Africa","Africa"
"Mammals","42257",,"Indian Ocean","Africa","Africa"
"Mammals","42314",,"Indian Ocean","Africa","Africa"
"Mammals","42379",,"Indian Ocean","Africa","Africa"
"Mammals","42353",,"Indian Ocean","Africa","Africa"
"Mammals","42258",,"Indian Ocean","Africa","Africa"
"Mammals","42305",,"Indian Ocean","Africa","Africa"
"Mammals","42317",,"Indian Ocean","Africa","Africa"
"Mammals","42316",,"Indian Ocean","Africa","Africa"
"Mammals","42315",,"Indian Ocean","Africa","Africa"
"Mammals","42313",,"Indian Ocean","Africa","Africa"
"Mammals","42312",,"Indian Ocean","Africa","Africa"
"Mammals","42311",,"Indian Ocean","Africa","Africa"
"Mammals","42310",,"Indian Ocean","Africa","Africa"
"Mammals","42309",,"Indian Ocean","Africa","Africa"
"Mammals","42376",,"Indian Ocean","Africa","Africa"
"Mammals","42334",,"Indian Ocean","Africa","Africa"
"Mammals","42262",,"Indian Ocean","Africa","Africa"
"Mammals","42173",,"Indian Ocean","Africa","Africa"
"Mammals","42225",,"Indian Ocean","Africa","Africa"
"Mammals","42282",,"Indian Ocean","Africa","Africa"
"Mammals","42284",,"Indian Ocean","Africa","Africa"
"Mammals","42287",,"Indian Ocean","Africa","Africa"
"Mammals","42288",,"Indian Ocean","Africa","Africa"
"Mammals","42290",,"Indian Ocean","Africa","Africa"
"Mammals","42292",,"Indian Ocean","Africa","Africa"
"Mammals","42293",,"Indian Ocean","Africa","Africa"
"Mammals","42295",,"Indian Ocean","Africa","Africa"
"Mammals","42167",,"Indian Ocean","Africa","Africa"
"Mammals","42279",,"Indian Ocean","Africa","Africa"
"Mammals","42375",,"Indian Ocean","Africa","Africa"
"Mammals","42296",,"Indian Ocean","Africa","Africa"
"Mammals","42277",,"Indian Ocean","Africa","Africa"
"Mammals","42276",,"Indian Ocean","Africa","Africa"
"Mammals","42355",,"Indian Ocean","Africa","Africa"
"Mammals","42356",,"Indian Ocean","Africa","Africa"
"Mammals","42174",,"Indian Ocean","Africa","Africa"
"Mammals","42175",,"Indian Ocean","Africa","Africa"
"Mammals","42176",,"Indian Ocean","Africa","Africa"
"Mammals","42177",,"Indian Ocean","Africa","Africa"
"Mammals","42178",,"Indian Ocean","Africa","Africa"
"Mammals","42179",,"Indian Ocean","Africa","Africa"
"Mammals","42300",,"Indian Ocean","Africa","Africa"
"Mammals","41840",,"Indian Ocean","Africa","Africa"
"Mammals","42341",,"Indian Ocean","Africa","Africa"
"Mammals","42223",,"Indian Ocean","Africa","Africa"
"Mammals","42332",,"Indian Ocean","Africa","Africa"
"Mammals","42352",,"Indian Ocean","Africa","Africa"
"Mammals","42736",,"Indian Ocean","Africa","Africa"
"Mammals","42735",,"Indian Ocean","Africa","Africa"
"Mammals","42734",,"Indian Ocean","Africa","Africa"
"Mammals","42330",,"Indian Ocean","Africa","Africa"
"Mammals","42325",,"Indian Ocean","Africa","Africa"
"Mammals","42324",,"Indian Ocean","Africa","Africa"
"Mammals","42264",,"Indian Ocean","Africa","Africa"
"Mammals","42322",,"Indian Ocean","Africa","Africa"
"Mammals","42344",,"Indian Ocean","Africa","Africa"
"Mammals","42321",,"Indian Ocean","Africa","Africa"
"Mammals","42320",,"Indian Ocean","Africa","Africa"
"Mammals","42333",,"Indian Ocean","Africa","Africa"
"Mammals","42200",,"Indian Ocean","Africa","Africa"
"Mammals","42249",,"Indian Ocean","Africa","Africa"
"Mammals","42188",,"Indian Ocean","Africa","Africa"
"Mammals","42227",,"Indian Ocean","Africa","Africa"
"Mammals","42228",,"Indian Ocean","Africa","Africa"
"Mammals","42238",,"Indian Ocean","Africa","Africa"
"Mammals","42239",,"Indian Ocean","Africa","Africa"
"Mammals","42323",,"Indian Ocean","Africa","Africa"
"Mammals","42365",,"Indian Ocean","Africa","Africa"
"Mammals","42318",,"Indian Ocean","Africa","Africa"
"Mammals","42306",,"Indian Ocean","Africa","Africa"
"Mammals","42319",,"Indian Ocean","Africa","Africa"
"Mammals","42304",,"Indian Ocean","Africa","Africa"
"Mammals","42303",,"Indian Ocean","Africa","Africa"
"Mammals","42302",,"Indian Ocean","Africa","Africa"
"Mammals","42301",,"Indian Ocean","Africa","Africa"
"Mammals","42267",,"Indian Ocean","Africa","Africa"
"Mammals","42266",,"Indian Ocean","Africa","Africa"
"Mammals","42265",,"Indian Ocean","Africa","Africa"
"Mammals","42342",,"Indian Ocean","Africa","Africa"
"Mammals","42263",,"Indian Ocean","Africa","Africa"
"Mammals","42343",,"Indian Ocean","Africa","Africa"
"Mammals","42261",,"Indian Ocean","Africa","Africa"
"Mammals","42307",,"Indian Ocean","Africa","Africa"
"Mammals","42331",,"Indian Ocean","Africa","Africa"
"Mammals","42351",,"Indian Ocean","Africa","Africa"
"Mammals","42350",,"Indian Ocean","Africa","Africa"
"Mammals","42349",,"Indian Ocean","Africa","Africa"
"Mammals","42348",,"Indian Ocean","Africa","Africa"
"Mammals","42347",,"Indian Ocean","Africa","Africa"
"Mammals","42346",,"Indian Ocean","Africa","Africa"
"Mammals","42345",,"Indian Ocean","Africa","Africa"
"Mammals","42308",,"Indian Ocean","Africa","Africa"
"Mammals","42198",,"Indian Ocean","Africa","Africa"
"Mammals","42371",,"Indian Ocean","Africa","Africa"
"Mammals","42143",,"Indian Ocean","Africa","Africa"
"Mammals","42420",,"Indian Ocean","Africa","Africa"
"Mammals","42428",,"Indian Ocean","Africa","Africa"
"Mammals","42393",,"Indian Ocean","Africa","Africa"
"Mammals","42400",,"Indian Ocean","Africa","Africa"
"Mammals","42391",,"Indian Ocean","Africa","Africa"
"Mammals","42429",,"Indian Ocean","Africa","Africa"
"Mammals","42392",,"Indian Ocean","Africa","Africa"
"Mammals","42427",,"Indian Ocean","Africa","Africa"
"Mammals","42426",,"Indian Ocean","Africa","Africa"
"Mammals","42412",,"Indian Ocean","Africa","Africa"
"Mammals","42387",,"Indian Ocean","Africa","Africa"
"Mammals","42414",,"Indian Ocean","Africa","Africa"
"Mammals","42370",,"Indian Ocean","Africa","Africa"
"Mammals","42415",,"Indian Ocean","Africa","Africa"
"Mammals","42430",,"Indian Ocean","Africa","Africa"
"Mammals","42144",,"Indian Ocean","Africa","Africa"
"Mammals","42138",,"Indian Ocean","Africa","Africa"
"Mammals","42137",,"Indian Ocean","Africa","Africa"
"Mammals","42136",,"Indian Ocean","Africa","Africa"
"Mammals","42135",,"Indian Ocean","Africa","Africa"
"Mammals","42141",,"Indian Ocean","Africa","Africa"
"Mammals","42363",,"Indian Ocean","Africa","Africa"
"Mammals","42388",,"Indian Ocean","Africa","Africa"
"Mammals","42425",,"Indian Ocean","Africa","Africa"
"Mammals","42275",,"Indian Ocean","Africa","Africa"
"Mammals","42274",,"Indian Ocean","Africa","Africa"
"Mammals","42273",,"Indian Ocean","Africa","Africa"
"Mammals","42271",,"Indian Ocean","Africa","Africa"
"Mammals","42270",,"Indian Ocean","Africa","Africa"
"Mammals","42269",,"Indian Ocean","Africa","Africa"
"Mammals","42280",,"Indian Ocean","Africa","Africa"
"Mammals","42281",,"Indian Ocean","Africa","Africa"
"Mammals","42140",,"Indian Ocean","Africa","Africa"
"Mammals","42362",,"Indian Ocean","Africa","Africa"
"Mammals","42411",,"Indian Ocean","Africa","Africa"
"Mammals","42390",,"Indian Ocean","Africa","Africa"
"Mammals","42409",,"Indian Ocean","Africa","Africa"
"Mammals","42424",,"Indian Ocean","Africa","Africa"
"Mammals","42423",,"Indian Ocean","Africa","Africa"
"Mammals","42422",,"Indian Ocean","Africa","Africa"
"Mammals","42421",,"Indian Ocean","Africa","Africa"
"Mammals","42410",,"Indian Ocean","Africa","Africa"
"Mammals","42419",,"Indian Ocean","Africa","Africa"
"Mammals","42369",,"Indian Ocean","Africa","Africa"
"Mammals","42150",,"Indian Ocean","Africa","Africa"
"Mammals","42416",,"Indian Ocean","Africa","Africa"
"Mammals","42139",,"Indian Ocean","Africa","Africa"
"Mammals","42418",,"Indian Ocean","Africa","Africa"
"Mammals","42395",,"Indian Ocean","Africa","Africa"
"Mammals","42417",,"Indian Ocean","Africa","Africa"
"Mammals","42408",,"Indian Ocean","Africa","Africa"
"Mammals","42404",,"Indian Ocean","Africa","Africa"
"Mammals","42402",,"Indian Ocean","Africa","Africa"
"Mammals","42405",,"Indian Ocean","Africa","Africa"
"Mammals","42401",,"Indian Ocean","Africa","Africa"
"Mammals","42367",,"Indian Ocean","Africa","Africa"
"Mammals","42366",,"Indian Ocean","Africa","Africa"
"Mammals","42364",,"Indian Ocean","Africa","Africa"
"Mammals","42403",,"Indian Ocean","Africa","Africa"
"Mammals","42406",,"Indian Ocean","Africa","Africa"
"Mammals","42394",,"Indian Ocean","Africa","Africa"
"Mammals","42142",,"Indian Ocean","Africa","Africa"
"Mammals","42396",,"Indian Ocean","Africa","Africa"
"Mammals","42389",,"Indian Ocean","Africa","Africa"
"Mammals","42357",,"Indian Ocean","Africa","Africa"
"Mammals","42354",,"Indian Ocean","Africa","Africa"
"Mammals","42358",,"Indian Ocean","Africa","Africa"
"Mammals","42359",,"Indian Ocean","Africa","Africa"
"Mammals","42329",,"Indian Ocean","Africa","Africa"
"Mammals","42328",,"Indian Ocean","Africa","Africa"
"Mammals","42327",,"Indian Ocean","Africa","Africa"
"Mammals","42326",,"Indian Ocean","Africa","Africa"
"Mammals","42289",,"Indian Ocean","Africa","Africa"
"Mammals","42147",,"Indian Ocean","Africa","Africa"
"Mammals","42720",,"Indian Ocean","Africa","Africa"
"Mammals","42732",,"Indian Ocean","Africa","Africa"
"Mammals","42731",,"Indian Ocean","Africa","Africa"
"Mammals","42729",,"Indian Ocean","Africa","Africa"
"Mammals","42727",,"Indian Ocean","Africa","Africa"
"Mammals","42726",,"Indian Ocean","Africa","Africa"
"Mammals","42042",,"Indian Ocean","Africa","Africa"
"Mammals","42260",,"Indian Ocean","Africa","Africa"
"Mammals","42724",,"Indian Ocean","Africa","Africa"
"Mammals","42229",,"Indian Ocean","Africa","Africa"
"Mammals","42407",,"Indian Ocean","Africa","Africa"
"Mammals","42146",,"Indian Ocean","Africa","Africa"
"Mammals","42236",,"Indian Ocean","Africa","Africa"
"Mammals","42148",,"Indian Ocean","Africa","Africa"
"Mammals","42149",,"Indian Ocean","Africa","Africa"
"Mammals","42730",,"Indian Ocean","Africa","Africa"
"Mammals","42719",,"Indian Ocean","Africa","Africa"
"Mammals","42723",,"Indian Ocean","Africa","Africa"
"Mammals","42722",,"Indian Ocean","Africa","Africa"
"Mammals","42728",,"Indian Ocean","Africa","Africa"
"Mammals","42733",,"Indian Ocean","Africa","Africa"
"Mammals","42151",,"Indian Ocean","Africa","Africa"
"Mammals","42368",,"Indian Ocean","Africa","Africa"
"Mammals","42145",,"Indian Ocean","Africa","Africa"
"Mammals","42063",,"Indian Ocean","Africa","Africa"
"Mammals","42049",,"Indian Ocean","Africa","Africa"
"Mammals","46928",,"Indian Ocean","Africa","Africa"
"Mammals","42044",,"Indian Ocean","Africa","Africa"
"Mammals","42043",,"Indian Ocean","Africa","Africa"
"Mammals","46897",,"Indian Ocean","Africa","Africa"
"Mammals","42011",,"Indian Ocean","Africa","Africa"
"Mammals","42016",,"Indian Ocean","Africa","Africa"
"Mammals","42010",,"Indian Ocean","Africa","Africa"
"Mammals","42067",,"Indian Ocean","Africa","Africa"
"Mammals","42057",,"Indian Ocean","Africa","Africa"
"Mammals","42058",,"Indian Ocean","Africa","Africa"
"Mammals","42059",,"Indian Ocean","Africa","Africa"
"Mammals","42060",,"Indian Ocean","Africa","Africa"
"Mammals","42061",,"Indian Ocean","Africa","Africa"
"Mammals","42039",,"Indian Ocean","Africa","Africa"
"Mammals","86034",,"Indian Ocean","Africa","Africa"
"Mammals","42195",,"Indian Ocean","Africa","Africa"
"Mammals","42046",,"Indian Ocean","Africa","Africa"
"Mammals","42045",,"Indian Ocean","Africa","Africa"
"Mammals","42006",,"Indian Ocean","Africa","Africa"
"Mammals","42050",,"Indian Ocean","Africa","Africa"
"Mammals","42003",,"Indian Ocean","Africa","Africa"
"Mammals","41841",,"Indian Ocean","Africa","Africa"
"Mammals","42065",,"Indian Ocean","Africa","Africa"
"Mammals","42015",,"Indian Ocean","Africa","Africa"
"Mammals","42007",,"Indian Ocean","Africa","Africa"
"Mammals","42008",,"Indian Ocean","Africa","Africa"
"Mammals","42040",,"Indian Ocean","Africa","Africa"
"Mammals","42034",,"Indian Ocean","Africa","Africa"
"Mammals","42009",,"Indian Ocean","Africa","Africa"
"Mammals","42004",,"Indian Ocean","Africa","Africa"
"Mammals","42442",,"Indian Ocean","Africa","Africa"
"Mammals","41973",,"Indian Ocean","Africa","Africa"
"Mammals","41972",,"Indian Ocean","Africa","Africa"
"Mammals","41974",,"Indian Ocean","Africa","Africa"
"Mammals","41944",,"Indian Ocean","Africa","Africa"
"Mammals","41986",,"Indian Ocean","Africa","Africa"
"Mammals","42062",,"Indian Ocean","Africa","Africa"
"Mammals","41942",,"Indian Ocean","Africa","Africa"
"Mammals","42116",,"Indian Ocean","Africa","Africa"
"Mammals","42453",,"Indian Ocean","Africa","Africa"
